time,x,y,z,vx,vy,vz,v,rho,height
1.840000,111.566292,113.591743,66.939865,60.633900,52.660507,36.380341,88.165344,467.012700,113.591743
1.850000,112.172630,114.118347,67.303665,60.633900,52.562408,36.380341,88.106789,466.455404,114.118347
1.860000,112.778969,114.643974,67.667465,60.633900,52.464310,36.380341,88.048302,465.898895,114.643974
1.870000,113.385307,115.168617,68.031265,60.633900,52.366211,36.380341,87.989876,465.343120,115.168617
1.880000,113.991646,115.692276,68.395065,60.633900,52.268112,36.380341,87.931534,464.788128,115.692276
1.890000,114.597984,116.214958,68.758865,60.633900,52.170013,36.380341,87.873253,464.233871,116.214958
1.900000,115.204323,116.736656,69.122665,60.633900,52.071915,36.380341,87.815056,463.680396,116.736656
1.910000,115.810661,117.257378,69.486465,60.633900,51.973816,36.380341,87.756920,463.127654,117.257378
1.920000,116.417000,117.777115,69.850266,60.633900,51.875717,36.380341,87.698853,462.575694,117.777115
1.930000,117.023338,118.295876,70.214066,60.633900,51.777618,36.380341,87.640862,462.024466,118.295876
1.940000,117.629677,118.813652,70.577866,60.633900,51.679520,36.380341,87.582939,461.474018,118.813652
1.950000,118.236015,119.330444,70.941666,60.633900,51.581421,36.380341,87.525093,460.924299,119.330444
1.960000,118.842354,119.846260,71.305466,60.633900,51.483322,36.380341,87.467316,460.375361,119.846260
1.970000,119.448692,120.361092,71.669266,60.633900,51.385223,36.380341,87.409615,459.827151,120.361092
1.980000,120.055031,120.874947,72.033066,60.633900,51.287125,36.380341,87.351982,459.279720,120.874947
1.990000,120.661369,121.387817,72.396866,60.633900,51.189026,36.380341,87.294418,458.733016,121.387817
2.000000,121.267708,121.899704,72.760666,60.633900,51.090927,36.380341,87.236931,458.187088,121.899704
2.010000,121.874046,122.410614,73.124466,60.633900,50.992828,36.380341,87.179512,457.641888,122.410614
2.020000,122.480385,122.920540,73.488266,60.633900,50.894730,36.380341,87.122169,457.097463,122.920540
2.030000,123.086723,123.429489,73.852066,60.633900,50.796631,36.380341,87.064903,456.553764,123.429489
2.040000,123.693062,123.937454,74.215866,60.633900,50.698532,36.380341,87.007698,456.010839,123.937454
2.050000,124.299400,124.444443,74.579666,60.633900,50.600433,36.380341,86.950577,455.468639,124.444443
2.060000,124.905739,124.950447,74.943466,60.633900,50.502335,36.380341,86.893524,454.927212,124.950447
2.070000,125.512077,125.455467,75.307266,60.633900,50.404236,36.380341,86.836548,454.386507,125.455467
2.080000,126.118416,125.959511,75.671066,60.633900,50.306137,36.380341,86.779640,453.846575,125.959511
2.090000,126.724754,126.462570,76.034866,60.633900,50.208038,36.380341,86.722809,453.307364,126.462570
2.100000,127.331093,126.964653,76.398666,60.633900,50.109940,36.380341,86.666054,452.768925,126.964653
2.110000,127.937431,127.465752,76.762466,60.633900,50.011841,36.380341,86.609375,452.231206,127.465752
2.120000,128.543777,127.965874,77.126266,60.633900,49.913742,36.380341,86.552765,451.694258,127.965874
2.130000,129.150116,128.465012,77.490067,60.633900,49.815643,36.380341,86.496231,451.158028,128.465012
2.140000,129.756454,128.963165,77.853867,60.633900,49.717545,36.380341,86.439766,450.622541,128.963165
2.150000,130.362793,129.460342,78.217667,60.633900,49.619446,36.380341,86.383377,450.087823,129.460342
2.160000,130.969131,129.956543,78.581467,60.633900,49.521347,36.380341,86.327072,449.553849,129.956543
2.170000,131.575470,130.451752,78.945267,60.633900,49.423248,36.380341,86.270828,449.020589,130.451752
2.180000,132.181808,130.945984,79.309067,60.633900,49.325150,36.380341,86.214676,448.488071,130.945984
2.190000,132.788147,131.439240,79.672867,60.633900,49.227051,36.380341,86.158585,447.956320,131.439240
2.200000,133.394485,131.931503,80.036667,60.633900,49.128952,36.380341,86.102570,447.425305,131.931503
2.210000,134.000824,132.422791,80.400467,60.633900,49.030853,36.380341,86.046638,446.895007,132.422791
2.220000,134.607162,132.913101,80.764267,60.633900,48.932755,36.380341,85.990776,446.365449,132.913101
2.230000,135.213501,133.402435,81.128067,60.633900,48.834656,36.380341,85.934990,445.836655,133.402435
2.240000,135.819839,133.890778,81.491867,60.633900,48.736557,36.380341,85.879280,445.308595,133.890778
2.250000,136.426178,134.378143,81.855667,60.633900,48.638458,36.380341,85.823647,444.781249,134.378143
2.260000,137.032516,134.864532,82.219467,60.633900,48.540359,36.380341,85.768089,444.254641,134.864532
2.270000,137.638855,135.349930,82.583267,60.633900,48.442261,36.380341,85.712608,443.728789,135.349930
2.280000,138.245193,135.834351,82.947067,60.633900,48.344162,36.380341,85.657211,443.203675,135.834351
2.290000,138.851532,136.317795,83.310867,60.633900,48.246063,36.380341,85.601875,442.679271,136.317795
2.300000,139.457870,136.800262,83.674667,60.633900,48.147964,36.380341,85.546631,442.155603,136.800262
2.310000,140.064209,137.281738,84.038467,60.633900,48.049866,36.380341,85.491455,441.632690,137.281738
2.320000,140.670547,137.762238,84.402267,60.633900,47.951767,36.380341,85.436356,441.110511,137.762238
2.330000,141.276886,138.241760,84.766068,60.633900,47.853668,36.380341,85.381340,440.589040,138.241760
2.340000,141.883224,138.720291,85.129868,60.633900,47.755569,36.380341,85.326393,440.068298,138.720291
2.350000,142.489563,139.197845,85.493668,60.633900,47.657471,36.380341,85.271530,439.548313,139.197845
2.360000,143.095901,139.674423,85.857468,60.633900,47.559372,36.380341,85.216736,439.029060,139.674423
2.370000,143.702240,140.150024,86.221268,60.633900,47.461273,36.380341,85.162033,438.510512,140.150024
2.380000,144.308578,140.624634,86.585068,60.633900,47.363174,36.380341,85.107399,437.992691,140.624634
2.390000,144.914917,141.098267,86.948868,60.633900,47.265076,36.380341,85.052841,437.475624,141.098267
2.400000,145.521255,141.570923,87.312668,60.633900,47.166977,36.380341,84.998367,436.959287,141.570923
2.410000,146.127594,142.042587,87.676468,60.633900,47.068878,36.380341,84.943970,436.443649,142.042587
2.420000,146.733932,142.513275,88.040268,60.633900,46.970779,36.380341,84.889648,435.928739,142.513275
2.430000,147.340271,142.982986,88.404068,60.633900,46.872681,36.380341,84.835411,435.414581,142.982986
2.440000,147.946609,143.451706,88.767868,60.633900,46.774582,36.380341,84.781250,434.901145,143.451706
2.450000,148.552948,143.919449,89.131668,60.633900,46.676483,36.380341,84.727173,434.388411,143.919449
2.460000,149.159286,144.386215,89.495468,60.633900,46.578384,36.380341,84.673164,433.876402,144.386215
2.470000,149.765625,144.852005,89.859268,60.633900,46.480286,36.380341,84.619240,433.365144,144.852005
2.480000,150.371964,145.316803,90.223068,60.633900,46.382187,36.380341,84.565399,432.854605,145.316803
2.490000,150.978302,145.780624,90.586868,60.633900,46.284088,36.380341,84.511635,432.344765,145.780624
2.500000,151.584641,146.243469,90.950668,60.633900,46.185989,36.380341,84.457947,431.835649,146.243469
2.510000,152.190979,146.705322,91.314468,60.633900,46.087891,36.380341,84.404343,431.327275,146.705322
2.520000,152.797318,147.166199,91.678268,60.633900,45.989792,36.380341,84.350815,430.819623,147.166199
2.530000,153.403656,147.626099,92.042068,60.633900,45.891693,36.380341,84.297371,430.312668,147.626099
2.540000,154.009995,148.085022,92.405869,60.633900,45.793594,36.380341,84.244003,429.806434,148.085022
2.550000,154.616333,148.542953,92.769669,60.633900,45.695496,36.380341,84.190720,429.300940,148.542953
2.560000,155.222672,148.999908,93.133469,60.633900,45.597397,36.380341,84.137512,428.796165,148.999908
2.570000,155.829010,149.455887,93.497269,60.633900,45.499298,36.380341,84.084389,428.292086,149.455887
2.580000,156.435349,149.910873,93.861069,60.633900,45.401199,36.380341,84.031349,427.788719,149.910873
2.590000,157.041687,150.364883,94.224869,60.633900,45.303101,36.380341,83.978394,427.286095,150.364883
2.600000,157.648026,150.817917,94.588669,60.633900,45.205002,36.380341,83.925507,426.784189,150.817917
2.610000,158.254364,151.269974,94.952469,60.633900,45.106903,36.380341,83.872711,426.282975,151.269974
2.620000,158.860703,151.721039,95.316269,60.633900,45.008804,36.380341,83.819992,425.782472,151.721039
2.630000,159.467041,152.171127,95.680069,60.633900,44.910706,36.380341,83.767357,425.282709,152.171127
2.640000,160.073380,152.620239,96.043869,60.633900,44.812607,36.380341,83.714806,424.783661,152.620239
2.650000,160.679718,153.068359,96.407669,60.633900,44.714508,36.380341,83.662338,424.285297,153.068359
2.660000,161.286057,153.515503,96.771469,60.633900,44.616409,36.380341,83.609947,423.787648,153.515503
2.670000,161.892395,153.961670,97.135269,60.633900,44.518311,36.380341,83.557640,423.290736,153.961670
2.680000,162.498734,154.406860,97.499069,60.633900,44.420212,36.380341,83.505417,422.794537,154.406860
2.690000,163.105072,154.851059,97.862869,60.633900,44.322113,36.380341,83.453270,422.299020,154.851059
2.700000,163.711411,155.294281,98.226669,60.633900,44.224014,36.380341,83.401215,421.804215,155.294281
2.710000,164.317749,155.736526,98.590469,60.633900,44.125916,36.380341,83.349243,421.310145,155.736526
2.720000,164.924088,156.177780,98.954269,60.633900,44.027817,36.380341,83.297348,420.816780,156.177780
2.730000,165.530426,156.618057,99.318069,60.633900,43.929718,36.380341,83.245537,420.324100,156.618057
2.740000,166.136765,157.057358,99.681870,60.633900,43.831619,36.380341,83.193810,419.832129,157.057358
2.750000,166.743103,157.495667,100.045670,60.633900,43.733521,36.380341,83.142166,419.340886,157.495667
2.760000,167.349442,157.932999,100.409470,60.633900,43.635422,36.380341,83.090607,418.850350,157.932999
2.770000,167.955780,158.369354,100.773270,60.633900,43.537323,36.380341,83.039131,418.360498,158.369354
